Pass or Fail,Found or not,Page,Search Term,Position found,Position wanted
PASS,FOUND,/sign-in-universal-credit,sign in universal credit,1,<= 3
PASS,FOUND,/government/publications/send-code-of-practice-0-to-25,special educational needs and disability code of practice,1,<= 3
FAIL,NOT FOUND,/join-family-in-uk,spouse settlement visa apply from outside the uk,0,<= 3
PASS,FOUND,/stamp-duty-land-tax,stamp duty land tax,1,<= 3
PASS,FOUND,/guidance/stamp-duty-land-tax-buying-an-additional-residential-property,stamp duty land tax buying an additional residential property,1,<= 3
PASS,FOUND,/stamp-duty-land-tax,stamp duty land tax calculator,1,<= 3
PASS,FOUND,/government/publications/stamp-duty-land-tax-higher-rates-on-purchases-of-additional-residential-properties,stamp duty land tax higher rate,2,<= 3
FAIL,FOUND,/hmrc-internal-manuals/stamp-duty-land-tax-manual,stamp duty land tax manual,5,<= 3
PASS,FOUND,/stamp-duty-land-tax,stamp duty land tax transfer ownership of land or property,2,<= 3
PASS,FOUND,/government/publications/stamp-duty-land-tax-higher-rates-for-purchases-of-additional-residential-properties,stamp duty land tax: higher rates for purchases of additional residential properties,1,<= 3
PASS,FOUND,/state-pension-age,state pension age calculator,1,<= 3
PASS,FOUND,/government/publications/the-basic-state-pension,state pension claim form,2,<= 3
FAIL,NOT FOUND,/state-pension-top-up,state pension top up,0,<= 3
FAIL,NOT FOUND,/government/news/statement-the-status-of-eu-nationals-in-the-uk,statement: the status of eu nationals in the uk,0,<= 3
FAIL,FOUND,/government/statistics/announcements/race-and-the-criminal-justice-system-statistics-2017,statistics on race and the criminal justice system,8,<= 3
PASS,FOUND,/government/publications/early-years-foundation-stage-framework--2,statutory framework for early years foundation stage,3,<= 3
FAIL,FOUND,/government/publications/early-years-foundation-stage-framework--2,statutory framework for the early years foundation stage,5,<= 3
PASS,FOUND,/guidance/step-up-to-social-work-information-for-applicants,step up to social work,1,<= 3
PASS,FOUND,/stop-being-self-employed,stop being self employed,2,<= 3
PASS,FOUND,/student-finance-register-login,student finance log in,1,<= 3
PASS,FOUND,/government/publications/supporting-pupils-at-school-with-medical-conditions--3,supporting pupils at school with medical conditions,2,<= 3
PASS,FOUND,/sure-start-maternity-grant,sure start maternity grant,1,<= 3
PASS,FOUND,/keep-registration-number,take a number off a vehicle,2,<= 3
FAIL,FOUND,/keep-registration-number,take a number plate off a vehicle,4,<= 3
PASS,FOUND,/keep-registration-number,take a reg number off a vehicle,2,<= 3
PASS,FOUND,/keep-registration-number,take a registration number of a vehicle,2,<= 3
PASS,FOUND,/keep-registration-number,take a registration number off a vehicle,2,<= 3
PASS,FOUND,/keep-registration-number,take a registration off a vehicle,2,<= 3
PASS,FOUND,/tax-codes,tax codes to use from 6 april 2017,1,<= 3
FAIL,NOT FOUND,/government/organisations/hm-revenue-customs/contact/tax-credits-enquiries,tax credits phone number,0,<= 3
PASS,FOUND,/tax-right-retire-abroad-return-to-uk,tax if you leave the uk to live abroad,1,<= 3
PASS,FOUND,/tax-relief-for-employees,tax relief for employees,1,<= 3
PASS,FOUND,/government/publications/income-tax-tax-relief-for-expenses-of-employment-p87,tax relief for expenses of employment,1,<= 3
PASS,FOUND,/guidance/self-assessment-claim-tax-relief-on-pension-contributions,tax relief on pension contributions,1,<= 3
PASS,FOUND,/sold-bought-vehicle,tell dvla i have sold my vehicle,1,<= 3
PASS,FOUND,/sold-bought-vehicle,tell dvla youve bought or sold a vehicle,1,<= 3
FAIL,NOT FOUND,/tell-hmrc-change-of-details/change-name-or-address,tell hmrc about a change,0,<= 3
FAIL,NOT FOUND,/tell-hmrc-change-of-details/change-name-or-address,tell hmrc about a change to your personal details,0,<= 3
PASS,FOUND,/sold-bought-vehicle,tell us you no longer have a vehicle,2,<= 3
PASS,FOUND,/sold-bought-vehicle,tell us you no longer have the vehicle,2,<= 3
PASS,FOUND,/government/publications/common-inspection-framework-education-skills-and-early-years-from-september-2015,"the common inspection framework: education, skills and early years",1,<= 3
FAIL,FOUND,/find-pension-contact-details,the pension tracing service tyneview park whitsley road newcastle-upon-tyne ne98 1ba,5,<= 3
FAIL,NOT FOUND,/guidance/status-of-eu-nationals-in-the-uk-what-you-need-to-know,the status of eu nationals in the uk,0,<= 3
FAIL,NOT FOUND,/government/publications/vat-notice-7009-transfer-of-business-as-a-going-concern/vat-notice-7009-transfer-of-business-as-a-going-concern,transfer of a business as a going concern,0,<= 3
PASS,FOUND,/government/publications/rates-and-allowances-travel-mileage-and-fuel-allowances,travel - mileage and fuel rates and allowances,1,<= 3
FAIL,FOUND,/government/publications/universal-credit-and-other-benefits-quick-guide,universal credit and other benefits,4,<= 3
PASS,FOUND,/sign-in-universal-credit,universal credit log in,3,<= 3
FAIL,FOUND,/apply-universal-credit,universal credit register with a partner code,7,<= 3
PASS,FOUND,/sign-in-universal-credit,universal credit sign in,1,<= 3
FAIL,NOT FOUND,/expenses-if-youre-self-employed,use of home as office,0,<= 3
PASS,FOUND,/government/publications/vaccination-of-individuals-with-uncertain-or-incomplete-immunisation-status,vaccination of individuals with uncertain or incomplete immunisation status,1,<= 3
PASS,FOUND,/vat-flat-rate-scheme,vat flat rate scheme,1,<= 3
PASS,FOUND,/government/collections/vat-notices-numerical-order,vat notices: numerical order,1,<= 3
PASS,FOUND,/view-driving-licence,view my driving licence,1,<= 3
PASS,FOUND,/view-driving-licence,view my driving license,1,<= 3
FAIL,FOUND,/check-driving-information,view or share your driving licence information,7,<= 3
FAIL,FOUND,/dbs-update-service,view who has carried out a status check on my certificates,5,<= 3
FAIL,NOT FOUND,/government/publications/dbs-update-service-applicant-guide/dbs-update-service-applicant-guide,view who has carried out a status check on my certificates,0,<= 3
PASS,FOUND,/view-driving-licence,view your driving licence information,1,<= 3
PASS,FOUND,/the-warm-home-discount-scheme,warm home discount scheme,1,<= 3
FAIL,FOUND,/guidance/income-tax-when-you-rent-out-a-property-working-out-your-rental-income,wear and tear allowance,4,<= 3
PASS,FOUND,/benefits-calculators,what benefits am i entitled to,1,<= 3
FAIL,FOUND,/renew-driving-licence,what do i do with my old driving licence,5,<= 3
FAIL,FOUND,/renew-driving-licence,what do i do with my old licence,7,<= 3
PASS,FOUND,/theory-test,what do i need to take to my theory test,2,<= 3
PASS,FOUND,/apply-renew-passport,what documents do i need to renew my passport,2,<= 3
PASS,FOUND,/tax-codes,what is my tax code,1,<= 3
PASS,FOUND,/guidance/what-maintained-schools-must-publish-online,what maintained schools must publish online,1,<= 3
PASS,FOUND,/after-a-death,what to do after a death,3,<= 3
FAIL,FOUND,/after-a-death,what to do after a death in england and wales,6,<= 3
PASS,FOUND,/after-a-death,what to do after someone dies,1,<= 3
PASS,FOUND,/government/publications/flooding-what-to-do-before-during-and-after-a-flood,"what to do before, during and after a flood",1,<= 3
FAIL,NOT FOUND,/government/publications/what-to-do-if-youre-worried-a-child-is-being-abused--2,what to do if you are worried,0,<= 3
PASS,FOUND,/government/publications/what-to-do-if-youre-worried-a-child-is-being-abused--2,what to do if you are worried a child is being abused,2,<= 3
FAIL,NOT FOUND,/government/publications/what-to-do-if-youre-worried-a-child-is-being-abused--2,what to do if you are worried about a child,0,<= 3
PASS,FOUND,/government/publications/what-to-do-if-youre-worried-a-child-is-being-abused--2,what to do if you think a child is being abused,2,<= 3
PASS,FOUND,/government/publications/what-to-do-if-youre-worried-a-child-is-being-abused--2,what to do if you're worried a child is being abused,2,<= 3
PASS,FOUND,/government/publications/what-to-do-if-youre-worried-a-child-is-being-abused--2,what to do if you're worried a child is being abused advice for practitioners,1,<= 3
PASS,FOUND,/government/publications/what-to-do-if-youre-worried-a-child-is-being-abused--2,what to do if your worried a child is being abused,2,<= 3
PASS,FOUND,/government/publications/what-to-do-if-youre-worried-a-child-is-being-abused--2,what to do if youre worried a child is being abused,2,<= 3
PASS,FOUND,/employee-leaving,what to do when an employee leaves,1,<= 3
PASS,FOUND,/after-a-death,what to do when someone dies,1,<= 3
FAIL,NOT FOUND,/government/publications/what-to-do-with-a-passport-when-the-passport-holder-has-died,what to do with a passport when someone dies,0,<= 3
PASS,FOUND,/child-car-seats-the-rules,when can a child sit in the front of a car,1,<= 3
PASS,FOUND,/child-car-seats-the-rules,when can a child sit in the front seat,1,<= 3
PASS,FOUND,/state-pension-age,when can i claim my state pension,2,<= 3
PASS,FOUND,/state-pension-age,when can i get my state pension,2,<= 3
FAIL,NOT FOUND,/check-driving-information,when did i pass my driving test,0,<= 3
PASS,FOUND,/state-pension-age,when do i get my pension,3,<= 3
PASS,FOUND,/state-pension-age,when do i get my state pension,2,<= 3
PASS,FOUND,/apply-renew-passport,when do i need to renew my passport,1,<= 3
PASS,FOUND,/national-insurance,when do i stop paying national insurance,2,<= 3
PASS,FOUND,/national-insurance,when do you stop paying national insurance,1,<= 3
PASS,FOUND,/check-vehicle-tax,when does my car tax run out,3,<= 3
PASS,FOUND,/check-vehicle-tax,when is my car tax due,2,<= 3
PASS,FOUND,/check-mot-status,when is my mot due,2,<= 3
PASS,FOUND,/check-vehicle-tax,when is my road tax due,1,<= 3
FAIL,NOT FOUND,/check-vehicle-tax,when is my tax due,0,<= 3
PASS,FOUND,/state-pension-age,when will i get my pension,2,<= 3
PASS,FOUND,/state-pension-age,when will i get my state pension,2,<= 3
PASS,FOUND,/budgeting-help-benefits,where do i send my budgeting loan form,2,<= 3
PASS,FOUND,/renew-driving-licence,where do i send my old driving licence,3,<= 3
PASS,FOUND,/renew-driving-licence,where do i send my old driving licence to,3,<= 3
FAIL,FOUND,/renew-driving-licence,where do i send my old driving license,4,<= 3
PASS,FOUND,/renew-driving-licence,where do i send my old licence,3,<= 3
PASS,FOUND,/renew-driving-licence,where do i send my old licence to,3,<= 3
PASS,FOUND,/self-assessment-tax-returns,where do i send my tax return,1,<= 3
PASS,FOUND,/renew-driving-licence,where to send old driving licence,1,<= 3
PASS,FOUND,/government/publications/working-together-to-safeguard-children--2,working together to safeguard children,1,<= 3
FAIL,FOUND,/government/publications/financial-sanctions-consolidated-list-of-targets,zimbabwe financial sanctions consolidated list of targets,4,<= 3
PASS,FOUND,/book-driving-test,book driving,1,<= 3
FAIL,NOT FOUND,/apply-renew-passport,new passport,0,<= 3
PASS,FOUND,/croatian-national,croatian,1,<= 3
PASS,FOUND,/government/publications/budgeting-loan-claim-form,social fund,2,<= 3
FAIL,FOUND,/employee-leaving,p45,4,<= 3
FAIL,FOUND,/get-a-child-passport,passport,7,<= 3
PASS,FOUND,/government/publications/non-residents-relief-under-double-taxation-agreements-hs304-self-assessment-helpsheet,hs304,1,<= 3
PASS,FOUND,/government/publications/complain-about-an-mot,vt17,1,<= 3
FAIL,FOUND,/child-tax-credit,child tax credits,4,<= 3
FAIL,NOT FOUND,/foreign-travel-advice/australia,australian visa,0,<= 3
FAIL,NOT FOUND,/hmrc-internal-manuals/employment-income-manual/eim05233,benchmark rates,0,<= 3
FAIL,NOT FOUND,/government/publications/tax-credits-and-child-benefit-urgent-request-for-authority-to-act-tc689,tc689,0,<= 3
PASS,FOUND,/government/publications/vtl310-application-for-a-duplicate-or-replacement-trade-licence-or-plates,vtl310,1,<= 3
PASS,FOUND,/government/publications/apprenticeship-levy,apprenticeship levy,2,<= 3
FAIL,FOUND,/marriage-allowance,married allowance,4,<= 3
PASS,FOUND,/claim-employment-allowance,employer allowance,2,<= 3
PASS,FOUND,/government/publications/inheritance-tax-household-and-personal-goods-donated-to-charity-iht408,iht408,1,<= 3
PASS,FOUND,/government/publications/typhoid-the-green-book-chapter-33,typhoid,3,<= 3
PASS,FOUND,/government/publications/v888-request-by-an-individual-for-information-about-a-vehicle,v888,3,<= 3
FAIL,FOUND,/government/publications/national-living-wage-nlw,living wage,8,<= 3
PASS,FOUND,/renounce-british-nationality,renounce,1,<= 3
FAIL,FOUND,/government/publications/vat-information-sheet-0613-notification-of-vehicle-arrivals,nova,6,<= 3
PASS,FOUND,/guidance/how-to-drive-on-a-smart-motorway,smart motorways,1,<= 3
FAIL,FOUND,/pay-self-assessment-tax-bill,budget payment plan,5,<= 3
PASS,FOUND,/government/collections/hmrc-webinars-email-alerts-and-videos,hmrc webinars,2,<= 3
PASS,FOUND,/limited-company-formation,private limited company,1,<= 3
FAIL,NOT FOUND,/calculate-tax-on-company-cars,p11d calculator,0,<= 3
FAIL,NOT FOUND,/government/publications/exchange-rates-for-customs-and-vat-yearly,exchange rates,0,<= 3
PASS,FOUND,/foreign-travel-advice/gambia,gambia,1,<= 3
PASS,FOUND,/government/publications/application-to-register-as-a-british-citizen-form-s1,s1,2,<= 3
PASS,FOUND,/take-practice-theory-test,mock theory test,3,<= 3
FAIL,FOUND,/government/publications/proof-of-identity-checklist,proof of identity,4,<= 3
PASS,FOUND,/disability-living-allowance-children,dla for children,3,<= 3
FAIL,FOUND,/government/statistics/taxable-benefits-and-expense-payments-fuel-scale-charges-2003-to-2014,scale charges,5,<= 3
FAIL,FOUND,/tax-credits-overpayments,tax credit overpayment,4,<= 3
FAIL,NOT FOUND,/guidance/changes-to-tax-relief-for-residential-landlords-how-its-worked-out-including-case-studies,landlord,0,<= 3
PASS,FOUND,/government/publications/shares-and-capital-gains-tax-hs284-self-assessment-helpsheet,hs284,1,<= 3
PASS,FOUND,/maternity-paternity-calculator,paternity calculator,1,<= 3
PASS,FOUND,/government/publications/paye-paye-settlement-agreement-psa1,psa1,1,<= 3
FAIL,NOT FOUND,/foreign-travel-advice/india,india visa,0,<= 3
PASS,FOUND,/access-to-work,access to work,1,<= 3
PASS,FOUND,/government/publications/statutory-sick-pay-employees-statement-of-sickness-sc2,sc2,3,<= 3
FAIL,NOT FOUND,/guidance/bank-building-society-and-other-interest-returns-changes-to-reporting-requirements-for-2015-to-2016,bank interest,0,<= 3
FAIL,NOT FOUND,/guidance/changes-to-tax-relief-for-residential-landlords-how-its-worked-out-including-case-studies,landlords,0,<= 3
PASS,FOUND,/foreign-travel-advice/new-zealand,new zealand,1,<= 3
FAIL,NOT FOUND,/government/publications/discretionary-leave-to-remain-granted-from-2010-to-2014,leave to remain,0,<= 3
FAIL,NOT FOUND,/government/news/what-is-auto-enrolment,auto enrolment,0,<= 3
FAIL,NOT FOUND,/guidance/rates-and-thresholds-for-employers-2016-to-2017,mileage rates,0,<= 3
PASS,FOUND,/government/publications/sickness-insurance-for-family-members-of-eea-students,comprehensive sickness insurance,1,<= 3
PASS,FOUND,/marriage-allowance,married person allowance,2,<= 3
PASS,FOUND,/guidance/mapsearch,mapsearch,1,<= 3
PASS,FOUND,/government/publications/self-assessment-trust-and-estate-uk-property-sa903,sa903,1,<= 3
FAIL,FOUND,/apply-for-a-digital-tachograph-driver-smart-card,tachograph card,4,<= 3
FAIL,FOUND,/premises-licence,premises,6,<= 3
PASS,FOUND,/wills-probate-inheritance,intestate,1,<= 3
FAIL,FOUND,/standard-visitor-visa,visitors visa,4,<= 3
PASS,FOUND,/log-in-register-hmrc-online-services,online services,2,<= 3
FAIL,FOUND,/government/publications/care-act-statutory-guidance,care act,4,<= 3
PASS,FOUND,/view-driving-licence,view driving,1,<= 3
PASS,FOUND,/guidance/waste-exemption-u8-using-waste-for-a-specified-purpose,u8,1,<= 3
FAIL,FOUND,/guidance/zika-virus-sample-testing-advice,zika,10,<= 3
FAIL,FOUND,/emergency-travel-document,emergency passport,4,<= 3
PASS,FOUND,/get-electronic-visa-waiver,evw,2,<= 3
FAIL,NOT FOUND,/government/publications/off-payroll-working-in-the-public-sector-reforming-the-intermediaries-legislation,ir35,0,<= 3
FAIL,FOUND,/visa-processing-times,track visa application,4,<= 3
PASS,FOUND,/government/publications/tables-a-pay-adjustment-tables,pay adjustment tables,1,<= 3
FAIL,NOT FOUND,/hmrc-internal-manuals/capital-gains-manual/cg34302,bare trust,0,<= 3
FAIL,FOUND,/child-benefit-tax-calculator,child benefit tax calculator,5,<= 3
PASS,FOUND,/tell-hmrc-company-car,p46 car,2,<= 3
FAIL,FOUND,/government/publications/change-a-company-name-nm01,change of company name,4,<= 3
PASS,FOUND,/government/collections/gcse-subject-content,gcse,2,<= 3
PASS,FOUND,/guidance/equality-act-2010-guidance,equality act,2,<= 3
PASS,FOUND,/state-pension,pension calculator,2,<= 3
PASS,FOUND,/foreign-travel-advice/denmark,denmark,1,<= 3
FAIL,FOUND,/standard-visitor-visa,standard visitor visa,4,<= 3
PASS,FOUND,/government/collections/employer-guides-to-work-experience,work experience,3,<= 3
FAIL,FOUND,/contact-hmrc,self assessment contact,4,<= 3
FAIL,FOUND,/waste-carrier-or-broker-registration,waste,10,<= 3
PASS,FOUND,/government/publications/inheritance-tax-confirmation-c1,c1,2,<= 3
PASS,FOUND,/foreign-travel-advice/indonesia,bali,2,<= 3
FAIL,FOUND,/self-assessment-forms-and-helpsheets,tax return forms,5,<= 3
FAIL,NOT FOUND,/report-suspicious-emails-websites-phishing,avoid,0,<= 3
PASS,FOUND,/dbs-update-service,renew dbs,1,<= 3
FAIL,FOUND,/taking-sick-leave,self certificate,7,<= 3
PASS,FOUND,/tell-hmrc-change-of-details,change my address,2,<= 3
FAIL,NOT FOUND,/government/publications/the-enterprise-investment-scheme-introduction,enterprise investment scheme,0,<= 3
PASS,FOUND,/co2-and-vehicle-tax-tools,co2 emissions,2,<= 3
PASS,FOUND,/pay-council-tax,pay council tax,1,<= 3
PASS,FOUND,/tell-hmrc-change-of-details,changing name,3,<= 3
PASS,FOUND,/government/publications/paye-starter-checklist,paye starter checklist,1,<= 3
PASS,FOUND,/government/publications/rates-and-allowances-capital-gains-tax,capital gains tax rates,3,<= 3
PASS,FOUND,/check-flood-risk,flood map,1,<= 3
FAIL,FOUND,/healthcare-immigration-application,ihs refund,5,<= 3
FAIL,FOUND,/foreign-travel-advice/united-arab-emirates,uae,9,<= 3
FAIL,NOT FOUND,/guidance/govuk-verify-checks-identity-providers-must-perform,verify,0,<= 3
PASS,FOUND,/foreign-travel-advice/japan,japan,1,<= 3
PASS,FOUND,/standard-visitor-visa,standard,1,<= 3
FAIL,FOUND,/renew-driving-licence,renew,5,<= 3
PASS,FOUND,/government/publications/rent-a-room-for-traders-hs223-self-assessment-helpsheet,hs223,1,<= 3
PASS,FOUND,/family-permit,eea family permit,1,<= 3
PASS,FOUND,/apply-apprenticeship,apprentaships,1,<= 3
PASS,FOUND,/home-responsibilities-protection-hrp,hrp,3,<= 3
PASS,FOUND,/penalty-points-endorsements,endorsements,1,<= 3
FAIL,FOUND,/contact-hmrc,contact tax credit,4,<= 3
FAIL,NOT FOUND,/guidance/what-payroll-information-to-report-to-hmrc,eps,0,<= 3
FAIL,FOUND,/becoming-a-british-citizen,citizenship application,4,<= 3
PASS,FOUND,/flexible-working,flexible working hours,3,<= 3
PASS,FOUND,/book-driving-test,book driving test,1,<= 3
FAIL,FOUND,/pay-paye-tax,paye,6,<= 3
PASS,FOUND,/employment-support-allowance,esa number,1,<= 3
PASS,FOUND,/vehicle-tax,car road tax,3,<= 3
PASS,FOUND,/foreign-travel-advice/british-virgin-islands,british virgin islands,1,<= 3
PASS,FOUND,/employment-support-allowance,esa form,1,<= 3
PASS,FOUND,/national-insurance,paying national insurance,1,<= 3
PASS,FOUND,/social-security-child-support-tribunal,appeal,2,<= 3
FAIL,FOUND,/self-assessment-forms-and-helpsheets,tax return form,5,<= 3
FAIL,FOUND,/vehicle-tax,car,6,<= 3
PASS,FOUND,/hmrc-internal-manuals/employment-income-manual/eim42780,eim42780,1,<= 3
FAIL,FOUND,/log-in-register-hmrc-online-services,self assessment online,4,<= 3
PASS,FOUND,/income-tax-rates,personal allowances,1,<= 3
PASS,FOUND,/government/publications/sdlt-guide-for-completing-paper-sdlt1-return,sdlt1,3,<= 3
PASS,FOUND,/government/publications/application-to-change-vehicles-gv80,gv80,2,<= 3
PASS,FOUND,/topic/business-tax/climate-change-levy,climate change levy,3,<= 3
PASS,FOUND,/guidance/the-highway-code/waiting-and-parking-238-to-252,double yellow lines,2,<= 3
FAIL,FOUND,/government/publications/guidance-on-applying-for-uk-visa-approved-english-language-tests,english test,6,<= 3
PASS,FOUND,/government/publications/paye-employer-annual-return-election-p350,p350,1,<= 3
FAIL,NOT FOUND,/hmrc-internal-manuals/tax-credits-manual/tcm1000029,debt management and banking,0,<= 3
PASS,FOUND,/government/publications/application-to-transfer-indefinite-leave-to-remain-in-uk-form-ntl,ntl form,1,<= 3
PASS,FOUND,/government/publications/compliance-checks-penalties-for-inaccuracies-in-returns-or-documents-ccfs7a,fs7a,1,<= 3
PASS,FOUND,/apply-uk-visa,business visa,2,<= 3
PASS,FOUND,/check-mot-history,check history mot,1,<= 3
FAIL,NOT FOUND,/hmrc-internal-manuals/double-taxation-relief,double taxation,0,<= 3
PASS,FOUND,/paternity-pay-leave,paternity leave,1,<= 3
FAIL,FOUND,/claim-tax-refund,tax reclaim,4,<= 3
PASS,FOUND,/government/publications/tax-credits-what-happens-if-youve-been-paid-too-much-cop26,cop26,1,<= 3
PASS,FOUND,/prison-visits,visit someone in prison,1,<= 3
FAIL,FOUND,/apply-online-to-replace-a-driving-licence,drivers licence,5,<= 3
FAIL,NOT FOUND,/government/organisations/serious-fraud-office,fraud,0,<= 3
FAIL,NOT FOUND,/government/publications/vat-changes-to-registration-details-vat484,form 484,0,<= 3
PASS,FOUND,/advanced-learner-loan,advance learner loan,3,<= 3
FAIL,FOUND,/log-in-register-hmrc-online-services,register self assessment,4,<= 3
FAIL,FOUND,/government/publications/making-tax-digital,making tax digital,9,<= 3
FAIL,FOUND,/tier-1-general,tier 1 visa,6,<= 3
FAIL,FOUND,/correct-your-business-rates,business rates,4,<= 3
FAIL,FOUND,/government/publications/budgeting-loan-claim-form,budgeting loans,6,<= 3
FAIL,FOUND,/charities-and-tax,charities,8,<= 3
PASS,FOUND,/government/publications/vat-ec-sales-list-vat101,vat101,1,<= 3
FAIL,FOUND,/guidance/apply-for-a-cec-for-deck-and-engineer-officers,cec,5,<= 3
FAIL,NOT FOUND,/disclosure-barring-service-check,criminal record,0,<= 3
PASS,FOUND,/find-pension-contact-details,lost pensions,1,<= 3
FAIL,FOUND,/government/publications/vat-notice-706-partial-exemption,partial exemption,5,<= 3
PASS,FOUND,/foreign-travel-advice/nigeria,nigeria,1,<= 3
PASS,FOUND,/sign-in-universal-credit,sign,2,<= 3
PASS,FOUND,/sure-start-maternity-grant,sure start maternity,1,<= 3
PASS,FOUND,/government/collections/teachers-standards,teachers standards,1,<= 3
FAIL,FOUND,/government/organisations/hm-revenue-customs/contact/reporting-fraudulent-emails,phishing,5,<= 3
PASS,FOUND,/countryside-stewardship-grants/take-field-corners-out-of-management-gs1,gs1,3,<= 3
PASS,FOUND,/countryside-stewardship-grants/legume-and-herb-rich-swards-gs4,gs4,3,<= 3
PASS,FOUND,/government/publications/zero-hours-contracts-guidance-for-employers,zero hour contracts,1,<= 3
FAIL,FOUND,/government/publications/apply-for-a-document-certifying-permanent-residence-or-permanent-residence-card-form-eea-pr,eea,4,<= 3
PASS,FOUND,/government/statistics,statistics,2,<= 3
FAIL,NOT FOUND,/hmrc-internal-manuals/repayment-claims-manual/rm1553,probate,0,<= 3
FAIL,NOT FOUND,/hmrc-internal-manuals/property-income-manual/pim3215,wear and tear allowance,0,<= 3
FAIL,FOUND,/government/organisations/hm-revenue-customs/contact/vat-enquiries,vat contact,8,<= 3
PASS,FOUND,/foreign-travel-advice/mauritania,mauritania,1,<= 3
FAIL,NOT FOUND,/government/publications/application-to-extend-stay-in-the-uk-form-flro,flr(o),0,<= 3
PASS,FOUND,/change-name-deed-poll,deed poll,3,<= 3
FAIL,FOUND,/standard-visitor-visa,family visitor visa,4,<= 3
FAIL,FOUND,/hmrc-internal-manuals/paye-manual/paye52015,p14,9,<= 3
PASS,FOUND,/government/publications/vat-notice-703-export-of-goods-from-the-uk,703,1,<= 3
PASS,FOUND,/government/organisations/hm-revenue-customs,hm revenue,1,<= 3
PASS,FOUND,/government/publications/passport-photographs,photograph,1,<= 3
PASS,FOUND,/personal-tax-account,my personal tax account,2,<= 3
FAIL,FOUND,/standard-visitor-visa,visitor visa,4,<= 3
FAIL,FOUND,/expenses-and-benefits-company-vans,company vans,7,<= 3
PASS,FOUND,/check-driving-information,check someone,1,<= 3
FAIL,FOUND,/sold-bought-vehicle,v5c,6,<= 3
FAIL,NOT FOUND,/government/statistics/statistics-on-smoking-england-2015,smoking,0,<= 3
PASS,FOUND,/government/organisations/land-registry,land register,1,<= 3
PASS,FOUND,/overseas-passports,overseas passport application,1,<= 3
PASS,FOUND,/countryside-stewardship-grants/planting-new-hedges-bn11,bn11,1,<= 3
FAIL,FOUND,/find-court-tribunal,courts,5,<= 3
PASS,FOUND,/sign-in-universal-credit,universal,2,<= 3
PASS,FOUND,/photos-for-passports,passport photos,1,<= 3
FAIL,FOUND,/tell-hmrc-change-of-details,change of name,5,<= 3
PASS,FOUND,/foreign-travel-advice/oman,oman,1,<= 3
FAIL,FOUND,/vehicle-registration,vehicle registration,10,<= 3
FAIL,FOUND,/pay-self-assessment-tax-bill,self assessment tax bill,4,<= 3
FAIL,NOT FOUND,/government/publications/excise-notice-2002-alcohol-wholesaler-registration-scheme,awrs,0,<= 3
FAIL,FOUND,/visa-documents-returned,return of documents,4,<= 3
FAIL,NOT FOUND,/government/publications/contracts-with-google,google,0,<= 3
FAIL,NOT FOUND,/foreign-travel-advice/usa/entry-requirements,esta,0,<= 3
PASS,FOUND,/jobsearch,cv,1,<= 3
FAIL,NOT FOUND,/guidance/claim-compensation-for-injury-or-financial-loss,ppi,0,<= 3
PASS,FOUND,/government/collections/consular-fees,consular fees,1,<= 3
PASS,FOUND,/guidance/the-highways-agency-skills-card-and-registration-requirements-for-suppliers,cscs,3,<= 3
FAIL,NOT FOUND,/maximum-weekly-working-hours/overview,working time regulations,0,<= 3
FAIL,NOT FOUND,/government/policies/teaching-and-school-leadership,teaching,0,<= 3
FAIL,NOT FOUND,/help-for-disabled-child/motability-scheme,motability,0,<= 3
FAIL,FOUND,/guidance/school-census,census,4,<= 3
PASS,FOUND,/government/collections/phonics-screening-check-administration,phonics threshold 2016,2,<= 3
FAIL,NOT FOUND,/government/publications/frauds-tricks-and-scams/fraud-tricks-and-scams,gmail,0,<= 3
PASS,FOUND,/government/organisations/ns-i,premium bonds,3,<= 3
FAIL,NOT FOUND,/career-skills-and-training,cscs card,0,<= 3
FAIL,NOT FOUND,/government/publications/frauds-tricks-and-scams/fraud-tricks-and-scams,hotmail,0,<= 3
FAIL,NOT FOUND,/government/publications/the-vic-scheme,vic,0,<= 3
PASS,FOUND,/government/collections/phonics-screening-check-administration,phonics screening threshold 2016,2,<= 3
FAIL,NOT FOUND,/find-local-council,edinburgh,0,<= 3
PASS,FOUND,/guidance/wheres-my-reply-for-tax-agents,wheres my reply,1,<= 3
PASS,FOUND,/guidance/wheres-my-reply-for-tax-agents,where is my reply,1,<= 3
FAIL,FOUND,/guidance/nhs-entitlements-migrant-health-guide,hc2,4,<= 3
FAIL,NOT FOUND,/government/speeches/nhs-prescription-charges-from-april-2017,prescription charges,0,<= 3
FAIL,FOUND,/guidance/nhs-entitlements-migrant-health-guide,hc1 form,9,<= 3
FAIL,NOT FOUND,/government/publications/2010-to-2015-government-policy-academies-and-free-schools/2010-to-2015-government-policy-academies-and-free-schools,education act,0,<= 3
FAIL,NOT FOUND,/government/publications/contracts-with-google,google.com,0,<= 3
FAIL,NOT FOUND,/find-local-council,southampton,0,<= 3
PASS,FOUND,/guidance/medals-campaigns-descriptions-and-eligibility,medals office,3,<= 3
FAIL,NOT FOUND,/career-skills-and-training,cscs test,0,<= 3
FAIL,NOT FOUND,/take-practice-theory-test,quiz,0,<= 3
FAIL,NOT FOUND,/government/publications/further-education-and-skills-inspection-handbook,common assessment framework,0,<= 3
FAIL,NOT FOUND,/book-national-driver-offender-retraining-course,speed awareness,0,<= 3
